sentence, language, transliteration, translation, sentiment
Jami Lidhu, gu, જમી લીધું, Ate up, positive
College Gayo To Aaje, gu, કોલ્લેગે ગયો તો આજે, If you go to college today, neutral
Exam Kyare Che, gu, એક્ષામ ક્યારે છે, When is the exam, neutral
kaha jaana hai , hi, कहा जाना है, Where to go, neutral
tula kay farak padto, mr, तुला काय फरक पडतो, what does it matter to you, negative
kay kartoy, mr, काय करतोय, what are you doing, neutral
mane madad ni jaroor che, gu, મને મદદ ની જરૂર ચે, I need help, neutral
garaj nay lagat re, mr, गरज नाय लागत रे, No need, positive
ketla paisa chhe, gu, કેટલા પૈસા છે, how much money, neutral
khup vela nantar ala re, mr, खूप वेळ नंतर आला रे, It came after a long time, neutral
Kya Jaay Che Tu, gu, ક્યાં જાય છે તું, Where are you going, positive
Kem Che, gu, કેમ છે, How are you, positive
kal sutti hoti ka, mr, काल सुट्टी होती का, Was it holiday yesterday, neutral
tu asa kase karu shakat, mr, तू असा कसे काय करू शकत, How can you do this, neutral
tula itka rag ka ala, mr, तुला इतका राग का आला, Why did you get so angry, negative
mazhyasobat khote bolu nako, mr, माझ्यासोबत खोटे बोलू नको, Don't lie to me, negative
ajun sanga, mr, अजून सांगा, Tell me more, neutral
pagal ahes ka, mr, पागल आहेस का, Are you mad, negative
mazhya barobar chala, mr, माझ्याबरोबर चला, come with me, positive
voh der se ata hai, hi, वो देर से आता है, he comes late, neutral
kaam kar raha hu, hi, काम कर रहा हु, I am working, positive
so raha hu, hi, सो रहा हु, am sleeping, neutral
batata hu me tereko , hi, बताता हु मै तेरे को, I will tell you, positive
ghar me hu, hi, घर मे हु, I am at home, neutral
tere pass hoga toh bhejna, hi, तेरे पास होगा तो भेजना, If you have it then send it, positive
Tumhe ye kisne bataya, hi, तुम्हें ये किसने बताया, Who told you this, neutral
Is waqt vo khana kha rahi hogi, hi, इस वक्त वो खाना खा रही होगी, She will be eating the food right now, positive
Aap English bolna kab shuru karoge, hi, आप इंग्लिश बोलना कब शुरू करोगे, When will you start to speak English, neutral
Hu College Nthi aavano hu Baare Jaavu Chu, gu, હુ કોલેજ નથી આવનો હુ બારે જાવુ છુ, I am not going to college I am going to a bar, neutral
Biju Su Kaai Che Bhai, gu, બીજ સુ કાઈ ચે ભાઈ, Bij Su Kai Che Bhai, neutral
Darshan Saaambhad Ne Shubham Ne Phone Kari Ne Kaii De !, gu, દર્શન સાંભડ ને શુભમ ને ફોન કરી ને કઈ દે !, Shubham called Darshan Sambhad and what did he give!, neutral
Exam Pachi Marines Jaavanu Plan Banavaye, gu, પરીક્ષા પચી મરિન જવાનુ યોજના બનાવયે, Let's make a plan to go to Marine after passing the exam, positive
Mne Oli Company Laagi Gayi In-Campus Ma, gu, મને ઓલી કંપની લગી ગઈ ઇન-કેમ્પસ મા, I got Oli company in-campus, positive
Tu nathi Besto In-Campus Placemnets Maate ?, gu, તું નાથી બેસ્ટો ઇન-કેમ્પસ પ્લેસમેનેટ્સ માતે?, Not good for in-campus placements?, negative
Hu Canteen Ma Baitho Chu ! Aavi Jaa Jaldi !, gu, હુ કેન્ટીન મા બેથો ચુ ! આવી જા જલદી!, I sit in the canteen! Come soon!, Neutral
Mne Assignment Mokli Deje Aaje, gu, મને સોંપણી મોકલી દેજે આજે, Send me the assignment today, neutral
muze der lagega re, hi, मुझे देर लगेगा रे, I will be late, neutral
udya lectures ahet ka, mr, उद्या लेकचर आहेत का, Are there lectures tomorrow?, neutral
tame kem chho ?, gu, તમે કેમ છો ?, how are you, positive
Aaj khup zop aali aahe, mr, आज खूप झोप आले रे, I am feeling sleepy today, neutral
tu kiti vajta yetoy, mr, तू किती वाजता येतोय, what time are you coming, positive
Aajun nahi lagla re, mr, आजून नाही लागला रे, It didn't start today, neutral
Kuthe pochala, mr, कुठे पोचला, Where did you arrive, neutral
To ya photo madhe zoplay, mr, तो या फोटोमध्ये झोपलाय, He is sleeping in this photo, positive
Yaat asel tar bagh, mr, यात असेल तर बघ, See if there is, neutral
Ajun baghitli nay, mr, अजून भेटली नाही, Haven't met yet, negative
Tasa pan sagla ahe, mr, तसं पण सगळं आहे, Everything is like that, positive
Zalay pathavta, mr, झालय पाठवा, send to, positive
Kisne kise poochha, hi, किसने किसे पूछा, Who asked whom, neutral
Main nahi gaya, hi, मैं नहीं गया, I didn’t go ,neutral
Tum kaha jaate ho, hi, तुम कहाँ जाते हो, Where do you go, neutral
Hum kis tarah aayenge, hi, हम किस तरह आयेंगे, How will we come, neutral
Main kab tak tumhara saath doonga, hi, मैं कब तक तुम्हारा साथ दूँगा, How long will I support you, neutral
Rohit ki behan kaha ja rahi hai, hi, रोहित की बहन कहाँ जा रही है, Where is Rohit’s sister going, neutral
Vo kis shahar se aaya tha, hi, वो किस शहर से आया था, From which city had he come, neutral
Ram khelta hai, hi, राम खेलता है, Ram plays, positive
He sagla kela, mr, हे सगळं केलं, Did all this, positive
Maaz vegla banvato, mr, माझा वेगळा बनवतो, Makes me different, neutral
Ghari gelo ki pathavto tuka, mr, घरी गेलो की पाठवतो तुला, I will send you when I go home, positive
Mi baher aloy, mr, मी बाहेर आलोय, i came out, neutral
Thamb pathavto, mr, थांब पाठवतो, Stop sending, positive
Kutala nasel tr sang, mr, कुठला नसेल तर सांग, If not then tell me, negative
mala nai jamnar, mr, मला नाही जमणार, I won't be able to, negative
Savare Madiye, gu, સાવરે માડીયે, Savare madiye, positive
Vaat Thaayi Maari Emne Haa Kidhu Che, gu, વાત થાય મારી એમને હા કીધુ છે, I have said yes to them, postive
Barabar Che Badhu Joi Le Ek Vaar, gu, બરાબર છે બધુ જોઈ લે એક વાર, It's okay let's see everything once, positive
Are pn lihaych ahe na, mr, अरे पण लिहायचं आहे ना, but you want to write don't you, neutral
Javal ahe ka company, mr, जवळ आहे का कंपनी, Is the company nearby, neutral
Kapde pn nai ahet, mr, कपडे पण नाय आहेत, There are no clothes, negative
mama kade aaloi, mr, मामाकडे आलोय, I have come to Mama, neutral
Hech tar pahije hota, mr, हेच तर पाहिजे होतं, This is what was needed, positive
Kay Kay vicharla, mr, काय काय विचारलं, What did you ask, neutral
Pudhe jato mag tumhi ya, mr, पुढे जातो मग मी तुम्ही या, I go ahead and you come, neutral
Train madhe ahe, mr, ट्रेनमध्ये आहे, is on the train, neutral
Nighala ki message kar, mr, निघाला की मेसेज कर, Leave a message, neutral
Tyachya ghari pahune yenar ahet, mr, त्याच्या घरी पाहुणे येणार आहेत, Guests are coming to his house, neutral
Ajun koni ahe ka baki, mr, अजून कोणी आहे का बाकी, Is there anyone else left, negative
Tu kuthe ahes sadhya, mr, तू कुठे आहेस सध्या, where are you now, neutral
konalach pathavnar nay, mr, कोणालाच पाठवणार नाही, Will not send anyone, negative
Mala ek donach lagtil yatle, mr, मला एक दोनच लागतील यातले, I only need one or two, neutral
Taari Car Joye che !, gu, તારી કાર જોયે છે !, I see your car!, positive
Petrol Nu Paisa Hu Aapis, gu, પેટ્રોલ નુ પૈસા હુ આપિસ, I will pay for the petrol, positive
kahi pn hovu shakat, mr, काही पण होऊ शकते, Anything could happen, neutral
Call kyu kiya tha, hi, कॉल क्यू किया था, why did you call, neutral
kal kitne baje, hi, कल कितने बजे, Tomorrow at what time, neutral
tumlog ka konsa hai, hi, तुम लोगो का कोनसा है, which one is yours, neutral
Aaj Kal Mausam Kharab Che, gu, આજ કલ મૌસમ ખરાબ છે, The weather is bad today, negative
Maaru 30% Waachine Thy Gayu Che, gu, મારું ૩૦% વાચીને થઈ ગયું છે, I have read 30%, positive
Kaale Marine Drive Jaaye, gu, કાલે મારીને ડ્રાઈવે જાયે, Kill it tomorrow and go for a drive, positive
Taara Ketla Submissions Thaya ?, gu, તારા કેટલા સબમિશન્સ થયા ?, How many submissions did you get, neutral
Tane Ketla Marks Maliya?, gu, તને કેતલા માર્ક્સ માલિયા?, How many marks did you get, neutral
Mummy Pappa Kem Che Tara?, gu, મમ્મી પપ્પા કેમ છે તારા?, How are you mom and dad?, positive
Exam Nu Ketlu Vaachi Ne Thayu?, gu, પરીક્ષા નુ કેતલુ વાચી ને થયું, How much did you study for the exam, neutral
Yaar Tara Upar Bau Gusso Aave Che !, gu, યાર તારા ઉપર બાઉ ગુસો આવે છે !, Man you are angry!, negative
Ek Undha Haath Ni Jaapad Aapiis Ne!, gu, એક ઉંધા હાથ ની જાપદ આપિસ ને !, Give an upside-down hand gesture!, neutral
Chaal Table Tenis Rama Jaaye, gu, ચાલ ટેબલ ટેનિસ રામા જાયે, Chal table tennis rama jaye, positive
Udya jau ya, mr, उद्या जाऊया, let's go tomorrow, positive
Aram kar mag, mr, आराम कर मग, Relax then, positive
Tumhi nay gele lagnala, mr, तुम्ही नाही गेले लग्नाला, You didn't go to the wedding, negative
Mhanun udya nay jamnar yayla, mr, म्हणून उद्या नाही जमणार यायला, So I will not be able to come tomorrow, negative
ek cap chaha de, mr, एक कप चहा दे, Get a cup of tea, neutral
konakadun pn chuk hovu shakate, mr, कोणाकडून पण चूक होऊ शकते, Anyone can be a mistaken, neutral
aalashi banu nako, mr, आळशी बनू नको, Don't become lazy, positive
sang mala kai karayacha ahe te, mr, सांग मला काय करायचं ते, tell me what to do, neutral
aas ahe ka, mr, असं आहे का, Is That so, neutral
mala dhamaki devu nakos, mr, मला धमकी देऊ नकोस, Don't threaten me, negative
kasa ahes ?, mr, कसा आहेस ?, how are you ?, positive
ye bande ke pair nhi hai kya, hi, इस बंदे का पेर ही नही है, This guy has no legs, negative
padh hi rha hu bhai, hi, पढ ही रहा हू भाई, I am still studying brother, positive
Ab tk toh nahi, hi, अब तक तो नही, not yet, negative
document bheja tha last time voh, hi, डॉक्युमेंट भेजा था लास्ट टाईम वो, I had sent the document last time, neutral
Tane Reviva Mli Ne ?, gu, તને રિવાવ મલી ને ?, Did you get Reviva?, negative
Taaaruj Submission Baaki Che Pura Batch Maa thi, gu, તારુજ સબમિશન બાકી છે પુરા બેચ મા થી, Date submission is pending from the entire batch, Negative
Aaje Maaru Last Practical Che, gu, આજ મારુ લાસ્ટ પ્રેક્ટિકલ છે, Today is my last practical, positive
Pachi Mne Taaru Resume mail Kar !, gu, પચી મન તારુ રેઝ્યૂમે મેલ કર!, Please mail your resume!, neutral
Aapde Ek Kaam Kariye, gu, આપડે એક કામ કરીયે, Let's do one thing, neutral
Restart Kariye, gu, કરીયે પુનઃપ્રારંભ કરો, Restart automatically, positive
Yaar Aajna Practicals Bauu Kharab Gaya Re !, gu, યાર આજના વ્યવહાર બૈખ ખરબ ગયા રે !, Man today's transactions have gone badly!, negative
Bijuu Badhu Tu Kari Leje, gu, બીજુ બધુ તુ કરિ લેજે, Do everything else, neutral
Arey Taaro Bhai Che Su Chinta Kare Che, gu, આરે તારો ભાઈ ચે સુ ચિંતા કરે છે, Hey your brother Che Su worries, positive
Jaa Aaram Thi, gu, જા આરામ થી, Go take it easy, positive
Te Kaya Method Thi Karyu Che, gu, તે કાયા પદ્ધતિ થી કરીયુ છે, It is done by Kaya method, neutral
Maaru Aa Sum Thatuj Nathi, gu, મારુ આ સમ થતુજ નાથી, I don't agree with this, negative
Usne kitaab le lee thi, hi, उसने किताब ले ली थी, He had taken the book, neutral
Main pen se likhoonga, hi, मैं पैन से लिखूँगा, I will write with a pen, neutral
Vo ghoomne gaya tha, hi, वो घूमने गया था, He had gone for a walk, neutral
Ye kahaniyan mujhe pasand nahi, hi, ये कहानियाँ मुझे पसंद नहीं, I don’t like these stories, negative
Humne galti nahi ki, hi, हमने गलती नहीं की, We didn’t make a mistake, neutral
Vo tumhare ghar pahle hi aa chuka hai, hi, वो तुम्हारे घर पहले ही आ चुका है, He has already come to your home, neutral
Ravi ki madad kis kisne ki, hi, रवि की मदद किस किसने की, Who all helped Ravi, positive
kute hota ata paryant, mr, कुठे होता आत्तापर्यंत, Where were you so long, neutral
tu itkya ragat ka ahes, mr, तू इतक्या रागात का आहे, Why are you so angry, negative
tula kiti vel lagel, mr, तुला किती वेळ लागेल, How long will you take, neutral
ase bolu nako, mr, असे बोलू नको, Don't say like this, neutral
sagal kahi thik hoil, mr, सगळ काही ठीक होईल, Everything will get better, positive
tikade kon ahe, mr, तिकडे कोण आहे, Who Is that over there, neutral
ek gost tr pakki ahe, mr, एक गोष्ट तर पक्की आहे, One thing is for sure, neutral
he lok kai karat ahet, mr, हे लोक काय करत आहेत, What are these people doing, neutral
tyane phone tevun dila, mr, त्याने फोन ठेवून दिला, He Hung up the phone, neutral
mazhi battery sampali ahe, mr, माझी बॅटरी संपली आहे, My battery is dead, neutral
tumacha avaj katat ahe, mr, तुमचा आवाज कटत आहे, Your voice is breaking up, negative
Biju Badhu Muk ! Pehla Aa Kaam Kar, gu, બીજુ બધુ મુક! પહેલ આ કામ કર, Leave everything else! Do this work first, neutral
Jama Bes Haal !, gu, જામા બેસ હાલ!, Sit now!, neutral
Ladkiyaan kal se dance ka abhiyas kar rahi hai, hi, लड़कियाँ कल से डाँस का अभ्यास कर रही हैं, Girls have been practicing dance since yesterday, neutral
Rakesh nahi samajhta, hi, राकेश नहीं समझता, Rakesh doesn’t understand, negative
Ghav se khoon nikal raha hai, hi, घाव से खून निकल रहा है, Blood is oozing from the wound, negative
Main padhoonga, hi, मैं पढूँगा, I will study, positive
Vo sabhi kiske bhai hai, hi, वो सभी किसके भाई हैं, Whose brothers are those all, neutral
Vo khidkee se jhaank raha tha, hi, वो खिड़की से झाँक रहा था, He was peeping through the window, neutral
Bachche aa rahe honge, hi, बच्चे आ रहे होंगे, kids will be coming, positive
tula mahiti ahe ka kal kai zal, mr, तुला माहिती आहे काल काय झालं, You know what happened yesterday, neutral
khot bolu nako, mr, खोटे बोलू नको, Don't dare to lie, negative
tumache kashe kai yene zale, mr, तुमची कशी काय येणे झाले, What brings you here, neutral
mg kai hoil, mr, मग काय होईल, What would happen then, neutral
he tuzhya kamacha nahi, mr, हे तुझ्या कामाचे नाही, None of your business, neutral
tu rikama ahes ka, mr, तू रिकामा आहे का, Are you free, neutral
ekahi paisa urla nahi, mr, एक पैसाही उरला नाही, Not even a single penny is left, neutral
mazhyashi punha bolu nakos, mr, माझ्याशी पुन्हा बोलू नकोस, Don't talk me again, negative
Hum vaha gaye the, hi, हम वहाँ गये थे, We had gone there, positive
he tr mala pn mahit navta, mr, हे तर मला पण माहित नव्हतं, Even I don't know that, neutral
tumhi mala bolvale ka, mr, तुम्ही मला बोलवले काय, Did You call me, neutral
tu aat madhe ka yet nahis, mr, तू आत मध्ये का येत नाहीस, Why don't you come in, neutral
ghabru nako, mr, घाबरू नको, Don't panic, positive
purn zale, mr, पूर्ण झाले, It's done, positive
asacha hoil ki, mr, असेच होईल की, it will be so, positive
Bas Mja Che, gu, બસ મજા ચે, Just have fun, positive
Taari Vaat Karu chu hu !, gu, તારી વાત કરું છુ હુ !, I am talking about you!, positive
Haal Jma Haal, gu, હાલ જમા હાલ, Currently deposited, neutral
Youtube ni link moklav mane, gu, યુટ્યુબ ની લિંક મોકલાવ મને, Send me the YouTube link, neutral
Implement Thay gayu, gu, થાય ગયુ અમલ, Executed, positive
Maari Tabiyat Saari Nthi Aajey, gu, મારી તબિયત સારી નથી આજે, I am not feeling well today, negative
Taara passye 20₹ Change Che ke, gu, તારા પાસયે 20₹ ચેન્જ ચે કે, Do you have ₹20 change?, neutral
Tu Free Che Ne Hamda ?, gu, તુ ફ્રી છે ને હમદા?, Are you free Hamda?, neutral
Ekane kel tari chalel, mr, एकानी केलं तरी चालेल, Even if you do it alone it will work, positive
Mi sakali nighalo ki sangto, mr, मी सकाळी निघालो की सांगतो, I will tell you when I leave in the morning, positive
Hech barobar ahe, mr, हेच बरोबर आहे, This is correct, negative
Mhanje samajla nay, mr, म्हणजे समजलं नाही, I mean I don't understand, negative
Ha mg me pn tech krto, mr, हा मग मी पण तेच करतो, So I do the same, positive
te kalal re, mr, ते कळालं रे, Got it, positive
teacher cha nav takayla lagel, mr, टीचर च नाव टाकायला लागेल, You have to enter the name of the teacher, neutral
Bat pan ghetli, mr, बॅट पण घेतली, Also took the bat, positive
Ata savay zali asel tula, mr, आता सवय झाली असेल तुला, You must be used to it now, neutral
ajun khup lagna ahet, mr, अजून खूप लग्न आहेत, There are many more marriages, positive
Te ti baghnar ahe, mr, ते ती बघणार आहे, She will see it, neutral
mil nhi rha, hi, मिल नही रहा है, can't find, negative
dusra nhi hai, hi, दुसरा नही है, there is no other, negative
kitna wakt lagega, hi, कितना वक्त लगेगा, how much time will it take, neutral
Library madhe ahe, mr, लायब्ररी मध्ये आहे, is in the library, neutral
attach lihun tak, mr, आताच लिहून टाक, Write it down now, positive
are bapre kiti ahet, mr, अरे बापरे किती आहेत, Oh how many are there, negative
ja swata javun bhag, mr, जा स्वतः जाऊन बघ, Go see for yourself, neutral
bhivu nakos, mr, भिऊ नकोस, Don't be scared, positive
tu mala phone ka kela nahis, mr, तू मला फोन का केला नाहीस, Why didn't you call me up, neutral
time hi nhi mil rha hai, hi, टाईम ही नही मिल रहा है, I can't find time, negative
Aakhir me karega, hi, आखिर मे करेगा, will do in the end, neutral
mereko nhi dekh rhe hai, hi, मेरे को नही देख रहे है, not looking at me, neutral
voh konsa grp hai, hi, वो कोनसा ग्रुप है, which group is that, neutral
Tane Toh Jalsa Che Bhai !, gu, તને તો જલસા છે ભાઈ!, You have a concert brother!, positive
Aavche Ek Round Maari Aavye !, gu, આવચે એક રાઉન્ડ મારી આવ્યે !, Let's kill a round here!, neutral
Sambhad Ne Doba !, gu, સંભાડ ને દોબા!, Wash and wash!, negative
Fail Thay Gayo Ne ! Etle Kidhutu Vaachi Ne Aav, gu, ફેલ થાય ગયો ને ! એટલી કીધુતુ વાચી ને આવ, Failed! So read and come, negative
Tane Notes Moklavi Che Vaachi Leje, gu, તને નોંધો મોકલવી છે વાચી લેજે, I want to send you notes read them, positive
Paramdivas na 250 Baaki Che Taara, gu, પરમદિવાસ ના 250 બાકી છે તારા, You have 250 left of Paramdivas, neutral
Kaale Mumbai Jaavu Che, gu, કાલે મુંબઈ જાવુ છે, Going to Mumbai tomorrow, positive
Maari Surat Jaavani Ticket Mokal Ne, gu, મારી સુરત જવાની ટીકીટ મોકલ ને, Send my ticket to Surat, neutral
Hji Moklavi Nai Te mne IT Return !, gu, હજી મોકલવી નાય તે મને આઈટી રિટર્ન!, Still can't send it back to me IT!, negative
kon bana rha, hi, कोण बना रहा है, Who is making it, neutral
Matlab movie he, hi, मतलब मूवी है, meaning it's a movie, neutral
bahar gaya tha, hi, बाहर गया था, went out, neutral
train me tha bhai, hi, ट्रेन मे था भाई, I was in the train brother, neutral
Ane wala hai kya, hi, आने वाला है क्या, are you coming, neutral
Kab nikalne wala hai tu, hi, कब निकलने वाला है तू, when are you going to leave, neutral
Ye mene bheja tha, hi, ये मैने भेजा था, I sent this, neutral
mereko check karna hai, hi, मेरे को चेक करना है, I need to check, neutral
dhanyawad sir, hi, धन्यवाद सर, thank you sir, positive
Toh zoplay, mr, तो झोपलाय, He is sleeping, neutral
File ahe ka tuzya kade, mr, फाईल आहे का तुझ्याकडे, Do you have the file, neutral
Maara Par Bharoso Rakh, gu, મારા પર ભરોસો રાખ, Trust me, positive
Hum bahut der tak sote hai, hi, हम बहुत देर तक सोते हैं, We sleep till late, neutral
pudhe kai, mr, पुढे काय, What next, neutral
ata kahicha hovu shakat nahi, mr, आता काहीच होऊ शकत नाही, Nothing can be done now, neutral
Vo khoob padhta hai, hi, वो खूब पढ़ता है, He studies a lot, positive
Vo kabhi-kabhi mere ghar aata hai, hi, वो कभी-कभी मेरे घर आता है, He sometimes comes to my home, neutral
Bus chali gai hogi, hi, बस चली गई होगी, The bus would have left, neutral
sodun dya tyla, mr, सोडून द्या याला, Leave alone this matter, negative
bhetat raha, mr, भेटत राहा, Keep in touch, positive
tu gadbad kelis, mr, तू गडबड केलीस, You messed up, negative
te mazhyavar ahe, mr, ते माझ्यावर आहे, It's on me, positive
kahitari ghe, mr, काहीतरी घे, Have something, neutral
he faltu ahe, mr, हे फालतू आहे, This is Bullshit, negative
he khote ahe, mr, हे खोटे आहे, It's unreal, negative
Vo ghar se nahi aaya hai, hi, वो घर से नहीं आया है, He has not come from home, neutral
Vo apne sapno ko saakaar karega, hi, वो अपने सपनों को साकार करेगा, He will fulfill his dreams, positive
Maara Pc ma Thaay Che, gu, મારા પીસી મા થાય છે, Happens on my PC, positive
mala zop yet ahe, mr, मला झोप येत आहे, I am feeling sleepy, neutral
tu nahi karu shaknar, mr, तू नाही करू शकणार, You won't be able to do it, negative
Main Shimla aksar jata hoon, hi, मैं शिमला अक्सर जाता हूँ, I often go to Shimla, neutral
Tu kem Aavu Kare Che !, gu, તું કેમ આવુ કરે છે !, Why do you do this!, neutral
Joiye Haal ! Free Hasu Toh Malsu, gu, જોયે હાલ! મુક્ત હસુ તોહ માલસુ, Look now! Mukt Hsu Toh Malsu, neutral
Mane Phone Aavyo Hato eno !, gu, મને ફોન આવ્યો હટો એનો !, I got a call to move away!, neutral
Tane Sir Bolave Che Lab Ma, gu, તને સર બોલાવે છે લેબ મા, Lab ma calls you sir, neutral
Sidho Haal Ne ! Natak Kare Che, gu, સિધો હાલ ને ! નાટક કરે છે, Done now! plays, negative
Maara Ghare Aavi jaje, gu, મારા ઘરે આવી જાજે, Come to my house, neutral
Gaando Che Saav, gu, ગાંડો છે સાવ, It's crazy, neutral
Taaro Haath Ma Dukheche hji !, gu, તારો હાથ મા દુઃખેછે હજી !, Your hand still hurts!, negative
Sorry Ne Bhai Maara, gu, માફ કરશો ને ભાઈ મારા, I'm sorry my brother, neutral
Mane Aavadto Hato Eno Jawab !, gu, મને આવડતો હટો એનો જવાબ!, I know the answer, positive
Life Ma Stress Nai Levanu !, gu, લાઈફ મા સ્ટ્રેસ નઈ લેવાનુ!, Don't take stress in life!, positive
Te IPL Joi Aajni?, gu, તે આઈપીએલ જોઈ આજની?, Did he watch the IPL today?, neutral
Maari vaat Maate Dhyaan Thi Vichar !, gu, મારી વાત માતે ધ્યાન થી વિચાર !, Think carefully about my words!, neutral